Keyword	Seed
入獄	1
上訴	1
下市	1
大跌	1
不肖	1
不服	1
不法	1
中傷	1
內鬼	1
內線交易	1
公款吃喝	1
公訴	1
勾結	1
欠稅	1
欠薪	1
火災	1
以權謀私	1
包庇	1
失職	1
犯有	1
犯罪	1
仲裁	1
仿製	1
兇手	1
兇殺	1
共謀	1
刑事	1
劣藥	1
吊銷	1
回扣	1
收買	1
有期徒刑	1
有罪	1
老鼠倉	1
自殺	1
行兇	1
行賄	1
行騙	1
串通	1
作奸犯科	1
作假	1
作弊	1
判刑	1
判決	1
判處	1
劫持	1
吸毒	1
告發	1
坐牢	1
坑殺	1
妨礙	1
狂跌	1
狂瀉	1
禿鷹	1
私運	1
走私	1
制裁	1
取消資格	1
受賄	1
受騙	1
性騷擾	1
抨擊	1
拐賣	1
拖欠	1
拖延	1
拘留	1
放空	1
沽空	1
炒股	1
爭訟	1
狙擊	1
空襲	1
糾正	1
糾紛	1
軋空	1
非法	1
侵犯	1
侵吞	1
侵害	1
侵權	1
冒牌	1
叛逃	1
哄騙	1
宣判	1
徇私	1
指控	1
施暴	1
查封	1
查處	1
毒品	1
洗劫	1
洗錢	1
背信	1
苛待	1
虐待	1
軍火交易	1
重挫	1
重罰	1
倒掛	1
倒閉	1
剝削	1
剝奪	1
恐怖分子	1
恐怖主義	1
恐怖行動	1
恐怖組織	1
挪用	1
挾持	1
捏造	1
涉案	1
涉嫌	1
破局	1
破產	1
紓困	1
索賠	1
缺失	1
財務危機	1
起訴	1
逃亡	1
逃稅	1
假冒	1
假帳	1
假貨	1
假幣	1
假賬	1
假藥	1
做手腳	1
停職	1
偷帶	1
偷渡	1
偷稅	1
偷運	1
偷竊	1
偽造	1
偽裝	1
勒索	1
強姦	1
強奪	1
情婦	1
掏空	1
控告	1
控訴	1
殺害	1
清盤	1
牽連	1
疏忽	1
處罰	1
被告	1
被捕	1
被禁	1
被罰	1
販毒	1
販賣人口	1
貪污	1
貪腐	1
通姦	1
造假	1
陰謀	1
惡意	1
提訊	1
欺上瞞下	1
欺詐	1
欺騙	1
盜用	1
盜竊	1
童工	1
結黨營私	1
虛報	1
虛開	1
裁決	1
裁定	1
訴訟	1
詐取	1
詐騙	1
跌停	1
逮捕	1
間諜	1
黑心	1
黑社會	1
黑幕	1
黑錢	1
傳訊	1
傷害	1
剽竊	1
嫌疑	1
搶劫	1
暗殺	1
暗箱操作	1
極端分子	1
極端主義	1
禁錮	1
禁藥	1
綁架	1
經營不善	1
詭計	1
詭譎	1
誆騙	1
賄賂	1
資遣	1
跳票	1
躲藏	1
過期	1
違反	1
違法	1
違紀	1
違約	1
違規	1
違禁	1
慘跌	1
摻假	1
撤回	1
撤銷	1
敲詐	1
漏稅	1
監獄	1
窩藏	1
罰金	1
罰款	1
腐化	1
腐敗	1
舞弊	1
認罪	1
誘騙	1
審判	1
暴力事件	1
暴跌	1
潛逃	1
罷工	1
罷免	1
誹謗	1
賣淫	1
戰爭罪	1
操縱	1
整頓	1
瞞報	1
篡改	1
謀取私利	1
謀殺	1
駭客	1
擠兌	1
檢察	1
檢舉	1
濫用職權	1
褻瀆	1
謊報	1
醜聞	1
隱匿	1
斷頭	1
瀆職	1
竄改	1
壟斷	1
懲罰	1
爆炸	1
爆跌	1
關押	1
騙局	1
騙取	1
騙稅	1
譭謗	1
釋放	1
贓款	1
竊取	1
竊盜	1
羈留	1
下調	1
地雷	1
違約	1
下獄	0
駁回	0
再審	0
下挫	0
下跌	0
急跌	0
奸商	0
詆譭	0
內賊	0
公款消費	0
狼狽爲奸	0
合謀	0
欠款	0
失火	0
起火	0
火警	0
以職謀私	0
謀私	0
縱容	0
失責	0
失察	0
玩忽職守	0
失查	0
被控	0
犯下	0
仿造	0
兇犯	0
真兇	0
兇徒	0
兇嫌	0
殺人	0
民事	0
假劣	0
僞劣	0
吊扣	0
提成	0
返點	0
買通	0
賄買	0
無期徒刑	0
徒刑	0
刑期	0
自盡	0
騙錢	0
騙術	0
騙財	0
串供	0
串謀	0
犯科	0
作惡者	0
犯紀	0
作惡	0
代考	0
替考	0
被判	0
一審	0
處死刑	0
脅持	0
涉毒	0
誣告	0
坐監	0
蹲大牢	0
牢獄之災	0
防礙	0
妨害	0
暴瀉	0
兀鷹	0
禿鷲	0
私帶	0
私銷	0
盜運	0
禁運	0
被騙	0
上當	0
猥褻	0
霸凌	0
譴責	0
斥責	0
駁斥	0
拐騙	0
人販子	0
延宕	0
遲延	0
一拖再拖	0
拘押	0
做空	0
玩股票	0
炒期貨	0
訟爭	0
訟事	0
訟案	0
阻擊	0
轟炸	0
炮擊	0
襲擊	0
多殺多	0
侵佔	0
私吞	0
損害	0
盜版	0
冒充	0
叛變	0
蒙哄	0
欺哄	0
矇騙	0
徇情枉法	0
徇情	0
控罪	0
施虐者	0
扣押	0
查扣	0
查抄	0
查辦	0
海洛因	0
冰毒	0
劫掠	0
搶掠	0
血洗	0
背約	0
背棄	0
欺壓	0
虐殺	0
凌虐	0
骯髒交易	0
重跌	0
懲處	0
嚴懲	0
奴役	0
盤剝	0
褫奪	0
禠奪	0
恐怖份子	0
恐怖活動	0
暴力行動	0
暴行	0
恐怖集團	0
挪作他用	0
挪作	0
脅逼	0
脅迫	0
編造	0
缺乏	0
匱乏	0
財政危機	0
危機	0
流亡	0
亡命	0
仿冒	0
僞冒	0
帳外帳	0
黑賬	0
假酒	0
假鈔	0
假硬幣	0
僞鈔	0
假錢	0
假票	0
動手腳	0
作手腳	0
撤職	0
被免職	0
免職	0
偷私渡	0
偷盜	0
行竊	0
假造	0
變造	0
僞造證件	0
輪姦	0
強暴	0
姦淫	0
誘姦	0
強取	0
搶奪	0
強佔	0
情夫	0
情人	0
姘婦	0
偷情	0
淘空	0
控拆	0
槍殺	0
謀害	0
殺死	0
慘殺	0
株連	0
牽累	0
疏漏	0
粗心大意	0
紀律處分	0
拘捕	0
毒販	0
販槍	0
人口販子	0
貪官	0
姦通	0
淫亂	0
僞造	0
提審	0
偵訊	0
審訊	0
提押	0
欺下瞞上	0
瞞上欺下	0
欺上壓下	0
諂上欺下	0
詐欺	0
欺瞞	0
欺矇	0
冒用	0
竊用	0
營私	0
少報	0
詐財	0
套取	0
拘禁	0
無良	0
黑道	0
黑幫	0
黑勢力	0
黑手黨	0
黑惡勢力	0
髒錢	0
傳喚	0
傳審	0
抄襲	0
刺殺	0
行刺	0
暗害	0
謀刺	0
黑箱操作	0
暗箱	0
激進分子	0
極端派	0
囚禁	0
束縛	0
桎梏	0
牢籠	0
禁閉	0
興奮劑	0
資不抵債	0
計謀	0
鬼計	0
毒計	0
波譎雲詭	0
雲譎波詭	0
誑騙	0
藏躲	0
藏身	0
匿伏	0
劇跌	0
摻雜使假	0
攙假	0
以假充真	0
看守所	0
牢房	0
窩贓	0
藏匿	0
拘役	0
服罪	0
認罰	0
引誘	0
誘使	0
誘迫	0
庭審	0
流血事件	0
罷黜	0
彈劾	0
毀謗	0
污衊	0
整治	0
整肅	0
清查	0
遲報	0
串改	0
牟取	0
黑客	0
舉報	0
濫用權力	0
利用職權	0
玷污	0
侮辱	0
改竄	0
責罰	0
炸彈	0
監禁	0
羈押	0
冒領	0
盜騙	0
謗毀	0
贓物	0
賄款	0
盜取	0
偷取	0
竊得	0
竊奪	0
